2026-06-12T15:40:30.781135310Z [inf]  
2026-06-12T15:40:30.781163770Z [inf]  > whatsapp-hook-backend@1.0.0 start
2026-06-12T15:40:30.781170680Z [inf]  > node index.js
2026-06-12T15:40:30.781176740Z [inf]  
2026-06-12T15:40:30.990802309Z [inf]  WhatsApp service starting in Green API mode (webhooks always ready).
2026-06-12T15:40:31.106751711Z [inf]  EduHook Link server running on port 8080
2026-06-12T15:40:31.106755571Z [inf]  Mode    : production
2026-06-12T15:40:31.106758681Z [inf]  Status  : http://localhost:8080/whatsapp/status
2026-06-12T15:40:31.187489279Z [inf]  Starting Container
2026-06-12T15:42:11.134035804Z [inf]  Successful admin login.
2026-06-12T15:42:30.741403008Z [inf]  Initializing Supabase client...
2026-06-12T15:42:30.741407048Z [inf]  Uploading file Certification for TechSprint.pdf to Supabase Storage as 1781278950361-278294442-Certification_for_TechSprint.pdf...
2026-06-12T15:42:31.614430693Z [inf]  File uploaded successfully. Public URL: https://nqrckgdatigcvglhtdoi.supabase.co/storage/v1/object/public/documents/1781278950361-278294442-Certification_for_TechSprint.pdf
2026-06-12T15:42:31.614435193Z [inf]  Extracting text from PDF file: Certification for TechSprint.pdf
2026-06-12T15:42:31.614440013Z [inf]  Failed to extract text from document Certification for TechSprint.pdf of type application/pdf
2026-06-12T15:42:31.614444623Z [inf]  No document content extracted; indexing using filename and tags only.
2026-06-12T15:42:31.614449163Z [inf]  Generating embedding using Gemini API (text-embedding-004)...
2026-06-12T15:42:31.740030869Z [inf]  [ALERT] Gemini embedding generation failed. Falling back to local Xenova model.
2026-06-12T15:42:31.753453924Z [inf]  Alert triggered but ALERT_WEBHOOK_URL is not set.
2026-06-12T15:42:31.753459284Z [inf]  Generating embedding using local Xenova/all-mpnet-base-v2...
2026-06-12T15:42:35.307905920Z [inf]  Resource "Certification for TechSprint.pdf" successfully indexed and saved to DB.
2026-06-12T15:43:05.405604889Z [inf]  [ALERT] Gemini embedding generation failed. Falling back to local Xenova model.
2026-06-12T15:43:05.405618439Z [inf]  Alert triggered but ALERT_WEBHOOK_URL is not set.
2026-06-12T15:43:05.405658218Z [inf]  Received API request from Romen (918761895085): "cert"
2026-06-12T15:43:05.405663678Z [inf]  Generating embedding using Gemini API (text-embedding-004)...
2026-06-12T15:43:05.406921739Z [inf]  Generating embedding using local Xenova/all-mpnet-base-v2...
2026-06-12T15:43:05.406925969Z [inf]  Sending Green API WhatsApp message to 918761895085 using API URL https://api.green-api.com...
2026-06-12T15:43:05.406929899Z [inf]  [ALERT] Green API failed to send message to 918761895085
2026-06-12T15:43:05.407946641Z [inf]  Alert triggered but ALERT_WEBHOOK_URL is not set.
2026-06-12T15:43:05.407951531Z [inf]  Error in POST /request:
2026-06-12T15:43:35.407054471Z [inf]  Received WhatsApp Green-API message from 919101390352: "cert"
2026-06-12T15:43:35.407058341Z [inf]  Generating embedding using Gemini API (text-embedding-004)...
2026-06-12T15:43:35.407062481Z [inf]  [ALERT] Gemini embedding generation failed. Falling back to local Xenova model.
2026-06-12T15:43:35.407066321Z [inf]  Alert triggered but ALERT_WEBHOOK_URL is not set.
2026-06-12T15:43:35.410420858Z [inf]  Generating embedding using local Xenova/all-mpnet-base-v2...
2026-06-12T15:43:35.410427278Z [inf]  Sending Green API WhatsApp message to 919101390352 using API URL https://api.green-api.com...
2026-06-12T15:43:35.410431678Z [inf]  Green API message sent to 919101390352
2026-06-12T15:43:35.410457447Z [inf]  Replied to WhatsApp Green-API message to 919101390352
2026-06-12T16:04:28.938280759Z [inf]  Received WhatsApp Green-API message from 919101390352: "cert"
2026-06-12T16:04:28.938287829Z [inf]  Generating embedding using Gemini API (text-embedding-004)...
2026-06-12T16:04:28.938292679Z [inf]  [ALERT] Gemini embedding generation failed. Falling back to local Xenova model.
2026-06-12T16:04:28.938296739Z [inf]  Alert triggered but ALERT_WEBHOOK_URL is not set.
2026-06-12T16:04:28.939499572Z [inf]  Generating embedding using local Xenova/all-mpnet-base-v2...
2026-06-12T16:04:28.939504812Z [inf]  Sending Green API WhatsApp message to 919101390352 using API URL https://api.green-api.com...
2026-06-12T16:04:29.950917470Z [inf]  Green API message sent to 919101390352
2026-06-12T16:04:29.950923489Z [inf]  Replied to WhatsApp Green-API message to 919101390352
2026-06-13T09:17:20.677699200Z [inf]  Received WhatsApp Green-API message from 919101390352: "cert"
2026-06-13T09:17:20.677706390Z [inf]  Generating embedding using Gemini API (text-embedding-004)...
2026-06-13T09:17:20.677711270Z [inf]  [ALERT] Gemini embedding generation failed. Falling back to local Xenova model.
2026-06-13T09:17:20.677723570Z [inf]  Alert triggered but ALERT_WEBHOOK_URL is not set.
2026-06-13T09:17:20.679304832Z [inf]  Generating embedding using local Xenova/all-mpnet-base-v2...
2026-06-13T09:17:21.680063842Z [inf]  Sending Green API WhatsApp message to 919101390352 using API URL https://api.green-api.com...
2026-06-13T09:17:22.634451808Z [inf]  Green API message sent to 919101390352
2026-06-13T09:17:22.634458098Z [inf]  Replied to WhatsApp Green-API message to 919101390352
2026-06-13T09:18:22.366048257Z [inf]  Received WhatsApp Green-API message from 919101390352: "resume"
2026-06-13T09:18:22.366054567Z [inf]  Generating embedding using Gemini API (text-embedding-004)...
2026-06-13T09:18:22.366058407Z [inf]  [ALERT] Gemini embedding generation failed. Falling back to local Xenova model.
2026-06-13T09:18:22.366061847Z [inf]  Alert triggered but ALERT_WEBHOOK_URL is not set.
2026-06-13T09:18:22.367189421Z [inf]  Generating embedding using local Xenova/all-mpnet-base-v2...
2026-06-13T09:18:22.367196371Z [inf]  Sending Green API WhatsApp message to 919101390352 using API URL https://api.green-api.com...
2026-06-13T09:18:22.367200131Z [inf]  Green API message sent to 919101390352
2026-06-13T09:18:22.367206051Z [inf]  Replied to WhatsApp Green-API message to 919101390352
2026-06-13T14:32:14.110018873Z [inf]  Received WhatsApp Green-API message from 919101390352: "resume"
2026-06-13T14:32:14.110022433Z [inf]  Generating embedding using Gemini API (text-embedding-004)...
2026-06-13T14:32:14.110026083Z [inf]  [ALERT] Gemini embedding generation failed. Falling back to local Xenova model.
2026-06-13T14:32:14.110029713Z [inf]  Alert triggered but ALERT_WEBHOOK_URL is not set.
2026-06-13T14:32:14.110221161Z [inf]  Generating embedding using local Xenova/all-mpnet-base-v2...
2026-06-13T14:32:14.110225571Z [inf]  Sending Green API WhatsApp message to 919101390352 using API URL https://api.green-api.com...
2026-06-13T14:32:14.491142924Z [inf]  Green API message sent to 919101390352
2026-06-13T14:32:14.491149324Z [inf]  Replied to WhatsApp Green-API message to 919101390352
